# 第121回 夏メック模試 — MEC Net.「正誤一覧」の転記（2026-09-10 にユーザーが貼り付けたもの）
# 列: key 正答 解答 全国正答率(%) 印
#   印: 禁=禁忌肢を解答 / 外=外科 / 解=解剖生理 / 計=計算（MEC の「外解計」列）
#   計算問題は桁ごとの行（74-1/74-2/74-3）を1つの桁文字列へ畳んだ（全国正答率は桁の行で同一だった）
# ⚠️ ここは転記の記録。カルテが読む正本は mock_data/m121s_rates.js（_work/build_mock_m121s_rates.js が作る）
A1	b	b	31.2
A2	d	d	90.5
A3	b	a	67.9
A4	d	d	77.5
A5	b	b	79.2
A6	b	b	59.2
A7	d	e	35.0
A8	e	e	60.8
A9	b	b	39.6
A10	be	bc	22.2
A11	ab	be	23.5
A12	bd	bd	56.7
A13	ae	ae	78.6
A14	cd	cd	79.2
A15	e	a	93.4
A16	c	c	40.5
A17	b	b	78.6
A18	c	c	56.8
A19	b	b	79.1
A20	d	d	89.4
A21	d	d	97.9
A22	c	c	67.7
A23	a	a	90.9	外
A24	b	b	55.0
A25	b	b	71.8	外
A26	a	e	42.8
A27	e	e	92.7
A28	d	d	95.8
A29	d	d	54.4
A30	e	e	90.9
A31	b	b	94.8
A32	d	d	91.1
A33	b	b	72.3
A34	e	e	65.2	外
A35	a	a	57.4
A36	c	c	61.1
A37	e	e	85.8
A38	b	b	63.9
A39	d	d	81.0
A40	d	d	67.5
A41	d	d	72.4
A42	e	e	95.6
A43	c	c	97.3
A44	e	e	92.7
A45	a	a	95.5
A46	b	b	95.4
A47	d	c	37.0
A48	b	b	81.7
A49	b	b	59.9
A50	c	c	46.9
A51	d	d	91.5
A52	e	e	98.0
A53	a	d	32.4
A54	d	d	74.2
A55	b	b	91.8	外
A56	e	e	93.1
A57	a	a	90.7
A58	c	d	59.2	禁外
A59	d	d	50.2
A60	b	b	90.0
A61	d	d	75.2
A62	a	a	87.0
A63	c	c	45.7
A64	b	b	83.6
A65	a	a	41.7
A66	e	e	73.9
A67	ce	ce	82.5
A68	de	cd	35.2
A69	ab	ab	75.1
A70	bd	bd	58.0
A71	ae	ae	32.2	外
A72	bc	bc	31.7
A73	abd	abd	78.4
A74	104	104	72.7	計
A75	243	243	68.1	計
B1	c	c	70.1
B2	c	c	76.8
B3	d	d	90.3
B4	c	c	98.6
B5	b	b	32.8
B6	d	d	91.3
B7	b	c	49.8
B8	b	b	94.8
B9	e	e	72.1
B10	c	c	78.4
B11	c	c	95.3
B12	c	c	98.8
B13	c	c	68.4
B14	e	e	98.8
B15	b	b	92.6
B16	c	c	63.1
B17	e	e	98.4
B18	c	d	42.4
B19	b	b	70.2
B20	b	b	65.1
B21	b	b	78.6
B22	b	b	89.4
B23	a	a	81.5	解
B24	e	e	88.3
B25	c	c	97.5
B26	a	a	68.9
B27	e	d	56.0	計
B28	c	c	93.2
B29	a	a	88.4
B30	d	d	75.1
B31	d	d	95.5
B32	e	e	94.6	外
B33	d	e	75.1
B34	a	a	97.1
B35	d	d	87.6
B36	d	d	98.9
B37	e	e	52.7
B38	d	d	98.8
B39	e	e	87.1
B40	c	c	97.3
B41	c	c	71.0
B42	a	a	65.5
B43	c	c	97.9
B44	e	e	98.9
B45	a	a	99.0
B46	a	a	98.5
B47	a	a	87.0
B48	e	b	57.0
B49	b	b	82.9
B50	e	e	97.4
C1	e	d	34.2
C2	b	b	92.4
C3	e	e	26.6
C4	b	b	72.6
C5	e	d	42.2
C6	a	a	87.7
C7	a	a	54.3
C8	d	d	65.1
C9	e	e	51.2
C10	a	b	86.0
C11	d	d	55.7
C12	d	d	86.7	外
C13	c	c	66.3
C14	b	d	23.5
C15	c	c	75.2
C16	a	d	46.0	解
C17	d	d	76.5
